,Topic,Subject,Question,Answer
185,Sobreajuste,Overadjustment,What does Ahmed Rashid look at in his series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of overfitting in computer science."
186,Ciencia de datos,Data science,What branch of science deals with the analysis of large amounts of data?,Data Science is a branch of science that deals with the analysis of large amounts of data.
187,Modelos generativos,Generative models,What type of models are an important part of computer science?,Generative models are an important part of computer science.
188,Bot,Bot,What is a computer program that performs repetitive tasks?,A robot is a computer program capable of performing repetitive tasks.
189,Smart data,Smart data,What type of data is big data?,There are two types of data: smart data and big data.
190,Test de Turing,Test the Turing,Ahmedou Ould-Abdallah looks at what test?,"In our series of letters from African journalists, film-maker and columnist Ahmedou Ould-Abdallah looks at the Turing Test."
191,Sugar code,Sugar code,"In this tutorial, you will learn about what?","In this tutorial, you will learn about sugar coding and how to use it in your programming."
192,Smart data,Smart data,Big data is what type of data?,There are two types of data: smart data and big data.
193,Ciencia de datos,Data science,What term has been gaining popularity?,The term Data Science has been gaining popularity in recent years.
194,Unidad de Procesamiento Gráfico (GPU),Graphics Processing Unit (GPU),What is a piece of computer equipment used to process data?,A graphics processing unit (GPU) is a piece of computer equipment used to process data.
195,Árbol de decisión,Decision tree,What does Ahmed Rashid look at in a series of letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the tree of decision."
196,Modelos generativos,Generative models,What type of models are an important part of artificial intelligence and computer science?,Generative models are an important part of artificial intelligence and computer science.
197,Sobreajuste,Overadjustment,"What does Ahmed Rashid call the problem of ""overfitting""?","In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the problem of ""overfitting""."
198,Máquina de Turing,Turing Machine,A machine that is capable of performing any computation is called what?,A Turing machine is a machine that is capable of performing any computation (that a computer is capable of performing this theoretical model).
199,Aprendizaje automático,Automatic learning,Machine learning is a branch of what?,Machine learning is a branch within AI that allows a computer to learn based on examples.
200,Ciencia de datos,Data science,What field of study is booming?,The world of data science is booming.
201,Árbol,Tree,"In this course, we will learn how to use what to solve computer science problems?",In this course we are going to learn how to use a tree to solve some common problems in computer science.
202,Turing completo,Turing completo,What type of system has a computational power equivalent to the Universal Turing Machine?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing Machine...
203,Autoencoder,Autoencoder,What is a type of artificial neural network that is divided into two parts?,Autoencoders are a type of artificial neural network that is divided into two parts: the encoder and the decoder.
204,Árbol de decisión,Decision tree,What does Ahmed Rashid look at in his letters?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the tree of decisions."
205,Ciencia de datos,Data science,What type of scientist is needed to extract useful information from large amounts of data?,There is a growing demand for data scientists who are able to extract useful information from large amounts of data.
206,Tabla Hash,Hash Table,"What is a data structure that relates a value called ""key"" to one or more elements called?","A Hash Table is a data structure that relates a value called ""key"" to one or more elements."
207,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement ( positive or negative).
208,Internet de las Cosas (IoT),Internet of Things (IoT),What does Farai Sevenzo look at in a series of letters?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at how the internet of things (IoT) is changing the way we live and work."
209,Agente inteligente,Intelligent agent,What are there many different types of?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have one thing in common - they all have one thing in common - they all have one thing in common - they all have"
210,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning whereby a decision is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision is followed by a reinforcement (positive or negative).
211,Realidad aumentada,Augmented reality,What is another name for virtual reality?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular forms of technology in the world today.
212,Grafo,Grafo,Graph theory is a theory of how data is organised?,Graph theory is a theory of how data is organised.
213,Xenobot,Xenobot,"What is the name of the new type of living robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot called a  Xenobot."
214,Árbol de Merkle,Árbol de Merkle,Hash Trees and Merkle Trees are two types of data structures that can be used in blockchain technology.,Hash Trees and Merkle Trees are two types of data structures that can be used in Blockchain technology.
215,Agente inteligente,Intelligent agent,There are many different types of what type of agent?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have a"
216,Xenobot,Xenobot,"What is the name of the living robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot called a xenobot."
217,Test de Turing,Test the Turing,DeepMind has passed what test?,"An artificial intelligence (AI) system called DeepMind has passed the Turing Test for the first time, the BBC reports."
218,Tabla Hash,Hash Table,What is a data structure that relates a value called key to one or more other elements?,A Hash Table is a data structure that relates a value called key to one or more other elements.
219,Bot,Bot,What is a computer program capable of performing repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet and simulates the behavior that a person would have, doing the same thing, but automatically."
220,Realidad aumentada,Augmented reality,What is AR also known as?,Augmented Reality (AR) and Virtual Reality (VR) are two of the hottest technologies in the world of technology.
221,Modelo,Model,"In this paper, we show how to train an AI model to predict the likelihood of a problem being solved?","In this paper, we show how to train an artificial intelligence (AI) model to predict the likelihood of a problem being solved."
222,Algoritmo,Algorithm,What type of algorithm is used to solve a problem?,Sequence of instructions to solve a problem.
223,Árbol,Tree,In this class we will learn how to use what to solve some common problems in computer science?,In this class we are going to learn how to use a tree to solve some common problems in computer science.
224,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning in which a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning wherein a decision made by an algorithm is followed by a reinforcement (positive or negative).
225,Prolog,Prologue,In what program will we learn how to solve a factorial?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in PROLOG.
226,Prolog,Prologue,In what program will I show you how to solve a factorial using two Facts and a Rule?,In this tutorial I will show you how to solve a factorial with two Facts and a Rule in PROLOG.
227,Árbol de Merkle,Árbol de Merkle,What is another name for Merkle Trees?,Hash Trees and Merkle Trees are two types of data structures that are used in Blockchain technology.
228,Sugar code,Sugar code,What does Ahmedou Ould-Abdallah call sugar code?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at some of the most popular letters from the continent."
229,Metaverso,Metaverse,What does Ahmed Rashid look at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the future of metaverses."
230,Tabla Hash,Hash Table,What is a data structure that relates a value called key to one or more other elements called?,A Hash Table is a data structure that relates a value called key to one or more other elements.
231,Computación Ecológica,Green Computing,What report has Research and Markets added to its offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing"" report to its offering."
232,Prolog,Prologue,In which language will we learn how to solve a factorial?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in the Prolog language.
233,Árbol de decisión,Decision tree,What is the hierarchy of a Christmas tree?,The hierarchy of a Christmas tree is an interesting concept.
234,Árbol,Tree,In this course we will learn how to use what type of data structure?,In this course we are going to learn how to use a tree as a data structure.
235,Subajuste,Subajuste,Farai Sevenzo looks at one of the most common problems faced by African journalists.,"In our series of letters from African journalists, filmmaker and columnist Farai Sevenzo looks at one of the most common problems faced by African journalists:"
236,Función Hash,Hash function,What is it called when a set of data is transformed into an alphanumeric code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into an alphanumeric code of fixed length.
237,Internet de las Cosas (IoT),Internet of Things (IoT),What technology is changing the way we live?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at how the internet of things (IoT) is changing the way we live."
238,Función Hash,Hash function,What transforms a set of data into an alphabetic code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into an alphabetic code of fixed length.
239,Prolog,Prologue,In what part of the text will we learn how to solve a factorial with two Facts and a Rule?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in Prolog.
240,Sobreajuste,Overadjustment,"What does Ahmed Rashid call the ""overfitting"" in AI?","In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of ""overfitting"" in artificial intelligence (AI)."
241,Unidad de Procesamiento Gráfico (GPU),Graphics Processing Unit (GPU),What is the term for a piece of computer equipment used to process data?,A graphics processing unit (GPU) is a piece of computer equipment used to process data.
242,Metaverso,Metaverse,What technology does Farai Sevenzo look at?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at the future of metaverse technology."
243,Modelos generativos,Generative models,What is an important part of AI?,"Generative models are an important part of artificial intelligence, and their use is growing."
244,Variables dummy,Variables dummy,What type of variable is created when the original variable can't be used?,A Dummy Variable is a variable that is created when the original variable can't be used.
245,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists: failure to identify a pattern?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern."
246,Máquina de Turing,Turing Machine,What is a formal model of computation capable of performing any computation?,A Turing machine is a formal model of computation capable of performing any computation (that a computer is capable of doing this theoretical model).
247,Árbol de decisión,Decision tree,What is the hierarchy of the human mind?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the hierarchy of the human mind."
248,Función Hash,Hash function,What is another term for a mathematical function that transforms a set of data into an alphabetic code of fixed length?,A Hash Function or Summary Function is a mathematical function that transforms a set of data into an alphabetic code of fixed length.
249,Sugar code,Sugar code,What does Ahmedou Ould-Abdallah look at in his series of letters?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the meaning of sugar."
250,Metaverso,Metaverse,Ahmed Rashid looks at the future of what type of technology?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the future of metaverse technology."
251,Turing completo,Turing completo,What type of system has a computational power equivalent to theUniversal Turing Machine?,A Turing Complete system is one that has a computational power equivalent to theUniversal Turing Machine.
252,Sobreajuste,Overadjustment,What is the problem of overfitting?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the problem of ""overfitting"" in computer science."
253,Realidad aumentada,Augmented reality,What is another name for virtual reality?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular forms of technology in the world.
254,Xenobot,Xenobot,"What is the name of the robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of robot."
255,Árbol,Tree,"In this class, we will learn how to use what to solve common problems?",In this class we will learn how to use a tree to solve some common problems.
256,Computación Ecológica,Green Computing,What is the name of the report that Research and Markets has added to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing-research) has announced the addition of the ""Green Computing"" report to their offering."
257,Test de Turing,Test the Turing,What test did DeepMind pass?,An artificial intelligence (AI) system called DeepMind has passed the Turing Test for the first time.
258,Árbol,Tree,In this class we will learn how to use what to solve common problems?,In this class we are going to learn how to use a tree to solve some common problems.
259,Computación Ecológica,Green Computing,What report has Research and Markets added to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing - Research and Markets"" report to their offering."
260,Máquina de Turing,Turing Machine,What is a formal model of computation capable of performing any computation according to their complexity?,A Turing machine is a formal model of computation capable of performing any computation (that a computer is capable of performing this theoretical model) according to their complexity.
261,Aprendizaje federado,Federated learning,What is a technique that allows to train an algorithm in a way using its own data?,"Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private or local)."
262,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by researchers in the field of artificial intelligence.,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by researchers working in the field of artificial intelligence."
263,Ciencia de datos,Data science,There is a growing demand for what type of scientist?,There is a growing demand for data scientists across the world.
264,Computación Ecológica,Green Computing,What report has Research and Markets added to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing"" report to their offering."
265,Agente inteligente,Intelligent agent,There are many different types of what?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have"
266,Test de Turing,Test the Turing,What test did DeepMind pass for the first time?,"An artificial intelligence (AI) system called DeepMind has passed the Turing Test for the first time, according to BBC News."
267,Sobreajuste,Overadjustment,What does Ahmed Rashid think is important in machine learning?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of overfitting in machine learning."
268,Internet de las Cosas (IoT),Internet of Things (IoT),Ahmedou Ould-Abdallah looks at what technology that is changing the way we live?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) is changing the way we live."
269,Tabla Hash,Hash Table,"What is a data structure that relates a value called ""key"" to one or more elements?","A Hash Table is a data structure that relates a value called ""key"" to one or more elements."
270,Modelos generativos,Generative models,What are an important part of computer science and artificial intelligence?,Generative models are an important part of computer science and artificial intelligence.
271,Reglas de asociación,Rules of association,What are rules of association?,Association rules are a set of rules that can be used to classify data.
272,Internet de las Cosas (IoT),Internet of Things (IoT),What is the term for the internet of things?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at how the internet of things is changing the way we live."
273,Árbol de decisión,Decision tree,What does Ahmed Rashid look at in his letters to African journalists?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the tree of decision."
274,Computación Ecológica,Green Computing,What report did Research and Markets add to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global...) has announced the addition of the ""Green Computing"" report to their offering."
275,Algoritmo,Algorithm,What is the process used to make croquettes?,Algorithm for making croquettes: Step 1: Chop the ham into small pieces.
276,Big data,Big data,What type of revolution does Ahmed Rashid look at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution."
277,Ciencia de datos,Data science,What branch of science deals with the analysis and management of large amounts of data?,Data Science is a branch of science that deals with the analysis and management of large amounts of data.
278,Turing completo,Turing completo,What is a system called that has a computational power equivalent to the Universal Turing machine?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing machine.
279,Árbol,Tree,In this class we will learn how to use what to solve common problems?,In this class we will learn how to use a tree to solve some common problems.
280,Metaverso,Metaverse,What does Ahmedou Ould-Abdallah look at in his series of letters?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at some of the ideas behind metaverses."
281,Aprendizaje federado,Federated learning,"What is a technique that allows to train an algorithm in a way, using its own data and only sharing it with other users?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local), and only shares it with other users."
282,Prolog,Prologue,In what part of the text will I show you how to solve a factorial?,In this tutorial I will show you how to solve a factorial with two Facts and a Rule in Prolog.
283,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists:"
284,Prolog,Prologue,In what program will we learn to solve a factorial with two Facts and a Rule?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in PROLOG.
285,Metaverso,Metaverse,Ahmed Rashid looks at the future of what kind of world?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the future of metaverses."
286,Metaverso,Metaverse,Ahmedou Ould-Abdallah looks at the future of what type of technology?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the future of metaverse technology."
287,Sobreajuste,Overadjustment,What does Ahmed Rashid think is important in artificial intelligence?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of overfitting in artificial intelligence."
288,Autoencoder,Autoencoder,What is the name of the type of artificial neural network?,Autoencoders are a particular type of artificial neural network that is divided into two parts: the encoder and the decoding decoder.
289,Modelos generativos,Generative models,What is an important part of artificial intelligence?,"Generative models are an important part of artificial intelligence, and their use is growing."
290,Realidad aumentada,Augmented reality,What does AR stand for?,Augmented Reality (AR) and Virtual Reality (VR) are two of the newest technologies in the world of entertainment.
291,Unidad de Procesamiento Gráfico (GPU),Graphics Processing Unit (GPU),What is a piece of computer equipment used to process data?,A Graphics Processing Unit (GPU) is a piece of computer equipment that is used to process data.
292,Reglas de asociación,Rules of association,What is a set of rules that govern the classification of data sets?,Association rules are a set of rules that govern the classification of data sets.
293,Blockchain,Blockchain,What is a system for digital transfer?,"Blockchain is a system for digital transfer based on the distribution of information in several independent computers that register and validate such information, eliminating intermediaries."
294,Prolog,Prologue,In what part of the text will I show you how to solve a factorial with two Facts and a Rule?,In this tutorial I will show you how to solve a factorial with two Facts and a Rule in Prolog.
295,Máquina de Turing,Turing Machine,What is a device that uses a table of rules to manipulate symbols on a data tape?,A Turing machine is a device that uses a table of rules to manipulate symbols on a data tape.
296,Árbol de decisión,Decision tree,What is the hierarchy of a tree?,The hierarchy of a Christmas tree is an interesting concept.
297,Smart data,Smart data,"Along with big data, what type of data is there?",There are two main types of data: smart data and big data.
298,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by those working in the film and television industry?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by those working in the film and television industry:"
299,Bot,Bot,What is a computer program that can perform repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet or simulates the behavior that a person would have, doing the same thing, but automatically."
300,Smart data,Smart data,Big data and what other type of data are there?,There are two types of data: smart and big.
301,Xenobot,Xenobot,What is the name of the living robot created by scientists at the University of California?,"Scientists at the University of California, Los Angeles, have created a new type of living robot, a Xenobot."
302,Grafo,Grafo,Which branch of mathematics deals with the relationship between data and people?,Graph theory is a branch of mathematics that deals with the relationship between data and people.
303,Algoritmo,Algorithm,What is the name of the algorithm used in step 2?,"Step 2: Put in a frying pan a little butter, a spoonful of flour and..."
304,Aprendizaje federado,Federated learning,"What is a technique that allows to train an algorithm in a way, using its own data and local?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private) and local."
305,Xenobot,Xenobot,"What is the name of the living robot created at the University of California, Berkeley?","Scientists at the University of California, Berkeley, have created a new type of living robot."
306,Computación Ecológica,Green Computing,What report did Research and Markets add to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing"" report to their offering."
307,Sugar code,Sugar code,What will you learn in this tutorial?,"In this tutorial, you will learn about sugar coding and how to use it in your coding."
308,Modelos generativos,Generative models,What kind of models are important in computer science?,Generative models are an important part of computer science.
309,Smart data,Smart data,Big data and what other type of data?,There are two main types of data: big data and smart data.
310,Turing completo,Turing completo,What type of system has a computational power equivalent to the Turing Machine?,A Turing Complete system is one that has a computational power equivalent to the Turing Machine.
311,Tabla Hash,Hash Table,What is a data structure called that relates a value called key to one or more other elements?,A Hash Table is a data structure that relates a value called key to one or more other elements.
312,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by researchers working in artificial intelligence.,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by researchers working in the field of artificial intelligence."
313,Smart data,Smart data,What type of data is big data?,There are two main types of data: smart data and big data.
314,Sugar code,Sugar code,"In this lesson, we're going to learn how to write code using what?","In this lesson, we are going to learn how to write code using sugar."
315,Turing completo,Turing completo,What is a system that has a computational power equivalent to the Turing Machine?,A Turing Complete system is one that has a computational power equivalent to the Turing Machine.
316,Unidad de Procesamiento Gráfico (GPU),Graphics Processing Unit (GPU),What is a piece of computer equipment used to process data?,A graphics processing unit (GPU) is a piece of computer equipment that is used to process data.
317,Variables dummy,Variables dummy,What is a variable that can be created when the original variable cannot be used?,A Dummy Variable is a variable that can be created when the original variable cannot be used.
318,Autoencoder,Autoencoder,What is a particular type of artificial neural network called?,Autoencoders are a particular type of artificial neural network that is divided into two parts: the encoder and the decoder.
319,Autoencoder,Autoencoder,What is a type of artificial neural network used to learn encodings from unlabelled data?,Autoencoders are a type of artificial neural network that are used to learn encodings from unlabelled data.
320,Árbol de Merkle,Árbol de Merkle,What is another name for Merkle Trees?,Hash Trees and Merkle Trees are part of the Blockchain technology.
321,Test de Turing,Test the Turing,What test has DeepMind passed?,An artificial intelligence (AI) called DeepMind has passed the Turing Test for the first time.
322,Metaverso,Metaverse,Ahmed Rashid looks at the future of what technology?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the future of metaverse technology."
323,Xenobot,Xenobot,"What is the name of the living robot created by scientists at the University of California, Berkeley?","Scientists at the University of California, Berkeley, have created a new type of living robot."
324,Bot,Bot,What is a computer program that performs repetitive tasks?,A bot is a computer program capable of performing repetitive tasks.
325,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning where a decision made by an algorithm is followed by a reinforcement (positive or negative)?,Reinforcement learning is a type of machine learning where a decision made by an algorithm is followed by a reinforcement (positive or negative).
326,Modelos generativos,Generative models,What is an important part of computer science?,Generative models are an important part of computer science and artificial intelligence.
327,Blockchain,Blockchain,What is a system for digital transfer based on the distribution of information in several independent computers?,"Blockchain is a system for digital transfer based on the distribution of information in several independent computers that register and validate such information, eliminating intermediaries."
328,Realidad aumentada,Augmented reality,What type of technology is AR?,Augmented Reality (AR) and Virtual Reality (VR) are two of the hottest technologies in the world of technology.
329,Test de Turing,Test the Turing,What test has DeepMind passed for the first time?,"An artificial intelligence (AI) called DeepMind has passed the Turing Test for the first time, the BBC reports."
330,Árbol de decisión,Decision tree,What tree of life does Ahmed Rashid look at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of the tree of life."
331,Smart data,Smart data,What type of data is big?,There are two main types of data: smart and big.
332,Aprendizaje federado,Federated learning,"What is the technique that allows to train an algorithm in a way, using its own data?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local), but only shares this model with other users."
333,Smart data,Smart data,"Along with big data, what type of data is there?",There are two main types of data: smart and big data.
334,Algoritmo,Algorithm,What is used to make croquettes?,Algorithm for making croquettes: Step 1: Chop the ham into small pieces.
335,Árbol de Merkle,Árbol de Merkle,What is another name for Merkle Trees?,Hash Trees and Merkle Trees are two types of Blockchain technology.
336,Grafo,Grafo,Graph theory is a branch of mathematics that deals with the relationship between information and people?,Graph theory is a branch of mathematics that deals with the relationship between information and people.
337,Xenobot,Xenobot,"What is the name of the living robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of living robot called a  Xenobot."
338,Computación Ecológica,Green Computing,What report did Research and Markets add to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing - Research and Markets"" report to their offering."
339,Prolog,Prologue,In what program will we solve a factorial with two Facts and a Rule?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in PROLOG.
340,Ciencia de datos,Data science,What is the branch of science that deals with the analysis of large volumes of data?,Data Science is a branch of science that deals with the analysis of large volumes of data.
341,Big data,Big data,Ahmed Rashid looks at the revolution in what field?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution and how it is changing our world."
342,Bot,Bot,What is a computer program that performs repetitive tasks on the internet called?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet and simulates the behavior that a person would have, doing the same thing, but automatically."
343,Smart data,Smart data,What is the other type of data?,There are two types of data: big data and smart data.
344,Tabla Hash,Hash Table,What is a data structure that relates a value called a key to one or more other elements?,"A Hash Table is a data structure that relates avalue called ""key"" to one or more other elements."
345,Internet de las Cosas (IoT),Internet of Things (IoT),What does Ahmedou Ould-Abdallah look at in his series of letters?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) could change the way we live."
346,Prolog,Prologue,In what language will we learn how to solve a factorial?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in the Prolog language.
347,Agente inteligente,Intelligent agent,What type of agent has one thing in common?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one"
348,Variables dummy,Variables dummy,What is a Variable that is created when the original Variable cannot be used?,A Dummy Variable is a variable that is created when the original Variable cannot be used.
349,Subajuste,Subajuste,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern in data?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern in the data."
350,Big data,Big data,What does Ahmed Rashid explain why it's important?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid explains why big data is so important."
351,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning where a decision made by an algorithm is followed by a reinforcement?,Reinforcement learning is a type of machine learning wherein a decision made by an algorithm is followed by a reinforcement (positive or negative).
352,Turing completo,Turing completo,What is a system that has a computational power equivalent to the Universal Turing machine?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing machine.
353,Modelo,Model,"In this paper, we show how to train what to predict the outcome of a problem?","In this paper, we show how to train an artificial intelligence (AI) model to predict the outcome of a problem."
354,Árbol de Merkle,Árbol de Merkle,Hash Trees and Merkle Trees are part of the Blockchain technology?,Hash Trees and Merkle Trees are part of the Blockchain technology.
355,Modelo,Model,What do we train to predict the outcome of a problem?,"In this paper, we show how to train an artificial intelligence (AI) model to predict the outcome of a problem."
356,Árbol de Merkle,Árbol de Merkle,Hash Trees and Merkle Trees are two types of data structures used in the blockchain.,Hash Trees and Merkle Trees are two types of data structures used in the Blockchain.
357,Prolog,Prologue,What language will I show you how to solve a factorial with two Facts and a Rule?,In this tutorial I will show you how to solve a factorial with two Facts and a Rule in the Prolog language.
358,Sobreajuste,Overadjustment,What does Ahmed Rashid think is important in artificial intelligence?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of ""overfitting"" in artificial intelligence."
359,Test de Turing,Test the Turing,What test did DeepMind pass?,"An artificial intelligence (AI) system called DeepMind has passed the Turing Test for the first time, according to BBC News."
360,Árbol de Merkle,Árbol de Merkle,What is another name for Hash Trees?,Hash Trees and Merkle Trees are two types of Blockchain technology.
361,Ciencia de datos,Data science,What field is there a growing demand for?,There is a growing demand for data scientists who are able to extract useful information from large amounts of data.
362,Big data,Big data,Ahmed Rashid looks at some of the challenges facing the African film industry?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at some of the big data challenges facing the industry."
363,Función Hash,Hash function,What is another name for Summary Function?,A Hash Function or Summary Function is a mathematical function that transforms a set of data into an alphabetic code of fixed length.
364,Smart data,Smart data,"Along with big data, what type of data is there?",There are two types of data: smart data and big data.
365,Modelos generativos,Generative models,What are an important part of artificial intelligence?,Generative models are an important part of artificial intelligence.
366,Autoencoder,Autoencoder,What is a particular type of artificial neural network?,Autoencoders are a particular type of artificial neural network that are divided into two parts: the encoder and the decoder.
367,Autoencoder,Autoencoder,What is a particular type of artificial neural network called?,Autoencoders are a particular type of artificial neural network that is divided into two parts: the encoder and the decoding decoder.
368,Agente inteligente,Intelligent agent,What type of agent has one thing in common?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common: they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one"
369,Ciencia de datos,Data science,What branch of science deals with analysis and management of large amounts of data?,Data Science is a branch of science that deals with the analysis and management of large amounts of data.
370,Blockchain,Blockchain,What could be used to make bank transfers?,"If we talk about bank transfers, these could be done without the need for a centralized computer (a bank)."
371,Ciencia de datos,Data science,What is the branch of science that deals with the analysis of large amounts of data?,Data Science is a branch of science that deals with the analysis of large amounts of data.
372,Árbol,Tree,In this class we will learn how to use what to solve computer science problems?,In this class we are going to learn how to use a tree to solve some common problems in computer science.
373,Aprendizaje por refuerzo,Reinforcement learning,What is a type of machine learning in which a decision is followed by a reinforcement?,Reinforcement learning is a type of machine learning whereby a decision is followed by a reinforcement (positive or negative).
